rain
18.5356
16.2548
70.7981
66.1616
267.215
341.042
540.907
493.21
291.549
199.171
126.285
1.69035
1.29152
1.14722
62.7686
229.589
302.197
528.775
415.257
435.166
282.872
76.6518
4.48053
6.51869
2.4001
16.7112
35.0165
79.8924
206.714
606.088
376.786
401.075
288.777
190.116
53.8007
1.0104
1.3257
40.4723
32.017
169.242
317.756
525.691
707.404
367.376
181.867
72.9881
32.9518
1.97838
7.07224
22.9071
78.9631
203.005
315.752
224.887
559.799
624.073
623.689
133.63
4.91701
7.61877
13.9546
65.6833
53.425
29.6299
229.508
357.968
487.922
388.641
212.273
185.89
48.9485
1.01352
10.7854
28.6799
123.023
115.429
234.761
549.54
327.091
223.517
269.975
51.2185
9.41034
13.5853
7.99686
12.5831
8.35921
44.7567
281.536
786.245
454.244
696.272
239.95
70.0824
3.32205
1.06706
3.05691
5.51192
1.05684
297.624
209.147
732.781
353.252
407.441
193.233
162.603
15.8119
10.6704
8.7212
23.461
42.3547
118.086
266.631
547.481
767.513
306.786
273.808
177.51
25.508
1.04428
14.8878
5.67389
53.2531
120.237
326.943
605.515
495.969
737.185
383.276
153.624
15.4586
1.00822
2.25106
29.7185
76.6334
162.34
280.501
432.564
468.194
334.72
185.82
218.287
130.107
4.99061
1.3331
52.7534
65.26
